ID-modifed,Qual a situação da MORADIA DO GRUPO FAMILIAR?,Qual o principal meio de transporte que você utiliza para vir até a Universidade?,NORMALIZAÇÃO: RENDA PERCAPITA EM CATEGORIAS,NORMALIZAÇÃO: VALOR TOTAL DOS BENS EM CATEGORIAS,Normalização : Despesas per capita EM CATEGORIAS
1,1,1,1,15,6
2,2,2,12,15,12
3,1,1,1,15,3
4,2,3,2,13,1
5,2,2,20,15,8
6,1,2,9,2,9
7,3,1,16,3,15
8,2,3,4,4,2
9,2,2,18,5,4
10,2,2,18,6,7
11,2,3,9,15,11
12,3,1,3,15,17
13,3,1,7,15,15
14,1,3,4,7,15
15,3,2,6,5,19
16,3,2,4,15,14
17,2,3,10,3,12
18,2,1,4,9,13
19,2,1,2,9,6
20,1,3,4,15,15
21,2,2,9,6,20
22,2,3,8,3,12
23,1,4,2,5,4
24,2,2,2,10,3
25,2,2,2,8,8
26,2,2,2,8,8
27,1,5,14,1,5
28,2,2,13,15,13
29,1,3,4,3,1
30,2,2,11,15,11
31,2,3,11,10,12
32,1,1,7,15,20
33,2,3,13,10,11
34,2,3,10,9,4
35,1,2,3,15,1
36,2,2,2,9,4
37,3,3,6,15,14
38,2,2,19,2,4
39,1,1,13,15,6
40,3,3,11,1,16
41,1,3,15,15,11
42,1,3,14,15,16
43,1,1,15,15,20
44,3,2,18,5,18
45,2,2,18,15,13
46,3,2,6,15,15
47,1,1,9,15,4
48,2,3,17,11,20
49,2,1,9,5,12
50,1,2,18,4,1
51,3,1,9,15,19
52,3,3,9,6,12
53,3,5,4,15,16
54,1,1,10,15,16
55,3,3,15,11,16
56,1,3,6,9,12
57,2,1,13,3,10
58,2,1,17,15,11
59,1,2,18,10,13
60,2,3,13,10,13
61,2,3,14,15,7
62,3,2,2,15,15
63,2,3,1,2,20
64,1,3,11,3,2
65,1,3,19,7,10
66,3,2,1,3,18
67,2,1,16,11,9
68,2,1,12,3,8
69,1,2,6,4,3
70,2,2,6,13,5
71,1,1,3,15,5
72,2,2,18,9,11
73,2,5,3,1,4
74,2,2,5,15,1
75,2,1,8,5,7
76,2,1,12,4,11
77,2,3,8,15,3
78,3,1,3,15,17
79,1,2,5,6,9
80,1,2,20,1,14
81,2,3,15,6,7
82,2,1,6,7,8
83,2,2,15,7,5
84,1,3,9,6,6
85,1,2,10,4,20
86,3,2,6,15,17
87,2,1,15,8,7
88,1,3,4,15,11
89,1,4,4,15,1
90,2,1,5,15,11
91,2,3,20,15,13
92,2,2,18,11,3
93,1,3,12,15,7
94,2,2,1,15,16
95,2,2,11,10,12
96,2,3,13,1,1
97,3,1,8,15,17
98,2,2,4,2,20
99,2,3,8,15,14
100,2,2,16,14,2
101,4,3,17,9,6
102,4,2,9,13,18
103,2,2,8,10,15
104,3,5,10,15,18
105,4,2,12,15,17
106,1,3,2,15,3
107,2,3,4,2,1
108,2,1,10,15,7
109,2,2,6,15,14
110,4,6,8,15,16
111,2,3,9,12,2
112,2,3,14,10,13
113,1,1,6,15,20
114,3,4,13,13,16
115,2,2,18,8,13
116,1,1,15,10,5
117,2,2,8,15,7
118,3,5,12,5,19
119,2,4,9,9,7
120,2,3,14,11,11
121,1,1,10,5,13
122,2,1,16,14,6
123,1,3,17,15,10
124,3,1,3,15,18
125,3,1,3,15,18
126,2,2,13,2,11
127,2,2,19,14,18
128,1,2,4,9,6
129,2,3,1,6,3
130,1,2,13,15,7
131,2,2,20,15,13
132,1,5,6,7,9
133,1,2,6,15,11
134,3,1,12,15,11
135,2,4,11,6,1
136,1,2,4,2,2
137,1,2,6,15,5
138,1,2,11,15,14
139,3,6,20,15,7
140,3,1,3,15,17
141,2,2,3,9,7
142,3,2,3,6,14
143,3,2,1,15,18
144,1,2,15,6,1
145,3,2,9,15,17
146,2,2,14,15,13
147,3,2,11,15,18
148,2,5,13,8,3
149,2,1,12,11,13
150,1,2,5,7,5
151,3,2,4,15,16
152,2,5,7,4,1
153,2,2,11,2,15
154,3,3,4,15,16
155,2,3,9,15,4
156,3,1,6,15,19
157,2,2,17,15,19
158,2,2,4,1,5
159,4,2,2,1,17
160,2,2,19,15,8
161,1,3,8,10,2
162,1,3,9,3,9
163,3,3,19,6,18
164,4,2,14,15,16
165,1,2,12,10,6
166,1,2,5,10,4
167,1,3,13,15,1
168,4,2,15,15,18
169,4,1,17,6,12
170,2,2,9,15,10
171,3,2,8,6,15
172,2,1,5,1,6
173,2,2,11,15,20
174,2,1,6,8,6
175,2,2,19,15,14
176,1,2,17,15,4
177,1,5,2,5,9
178,2,5,14,15,3
179,2,6,3,15,20
180,2,1,15,15,10
181,1,1,19,5,13
182,1,2,4,2,10
183,2,1,2,15,13
184,1,2,1,5,20
185,4,3,8,15,7
186,3,2,18,15,19
187,2,2,4,2,11
188,1,3,2,15,2
189,1,3,14,15,7
190,1,1,3,15,5
191,2,2,7,12,8
192,4,3,18,10,13
193,3,2,3,1,11
194,2,2,9,13,3
195,1,1,17,15,15
196,2,4,10,15,19
197,2,3,2,15,6
198,2,1,18,13,9
199,2,2,15,15,13
200,2,2,11,4,10
201,2,3,8,15,20
202,3,1,9,15,19
203,3,3,15,15,19
204,2,2,11,13,6
205,1,2,14,7,15
206,4,2,18,10,19
207,3,2,13,15,16
208,3,2,12,1,12
209,2,2,11,8,14
210,1,2,6,4,14
211,2,5,2,2,2
212,2,2,9,15,6
213,1,5,4,5,4
214,2,1,15,6,1
215,2,2,6,7,2
216,2,2,6,4,8
217,3,5,16,6,17
218,2,2,20,15,7
219,1,2,15,15,20
220,1,3,2,15,6
221,2,2,17,8,11
222,2,2,16,13,20
223,3,2,12,3,16
224,2,2,13,14,5
225,2,2,10,3,12
226,2,1,13,12,1
227,2,2,9,13,4
228,2,2,8,4,12
229,2,1,3,7,2
230,3,2,19,15,19
231,2,3,9,5,2
232,1,1,6,15,5
233,1,1,2,9,2
234,4,3,13,15,14
235,4,1,17,4,11
236,1,1,13,15,7
237,2,1,19,4,12
238,2,3,15,15,3
239,3,2,8,15,14
240,2,2,15,5,15
241,1,2,5,15,20
242,4,1,18,14,15
243,3,2,4,15,13
244,2,5,15,15,3
245,2,1,19,9,4
246,1,2,6,15,5
247,3,2,5,1,16
248,2,4,16,13,2
249,1,5,12,7,7
250,2,1,17,15,7
251,4,1,17,13,17
252,3,3,20,15,19
253,2,4,18,12,12
254,3,1,5,15,9
255,2,1,7,10,5
256,2,3,6,9,11
257,1,2,7,15,10
258,1,2,6,15,9
259,1,2,5,15,1
260,1,1,20,15,20
261,2,2,16,2,5
262,3,3,12,15,18
263,2,2,6,15,6
264,2,2,14,8,16
265,2,3,8,4,20
266,2,2,11,15,9
267,1,2,7,7,20
268,3,2,13,2,17
269,1,2,7,7,20
270,1,2,7,15,3
271,2,4,2,14,3
272,3,2,4,15,18
273,2,3,6,4,14
274,2,1,5,15,13
275,3,1,10,15,16
276,2,4,4,14,6
277,2,2,15,4,12
278,1,2,2,15,8
279,4,2,4,15,2
280,3,2,10,15,5
281,1,3,6,15,7
282,2,2,8,13,5
283,2,2,6,8,9
284,2,2,8,15,8
285,2,3,17,13,12
286,1,2,2,15,10
287,1,5,16,1,5
288,2,3,9,15,2
289,1,2,19,13,7
290,1,1,2,15,6
291,2,1,11,9,2
292,1,3,16,15,8
293,2,2,11,13,11
294,2,2,13,15,6
295,2,2,6,14,14
296,3,2,5,15,19
297,2,2,17,7,10
298,4,2,15,6,15
299,2,3,15,11,11
300,1,2,5,15,13
301,2,2,7,14,7
302,2,1,6,15,9
303,4,2,16,1,15
304,2,3,10,1,12
305,1,2,2,15,12
306,2,1,18,14,10
307,1,3,20,15,3
308,2,2,8,11,3
309,1,1,11,3,2
310,4,2,18,10,18
311,2,1,18,15,9
312,1,2,20,15,8
313,2,2,7,15,4
314,4,1,17,15,17
315,3,2,11,4,16
316,3,3,3,9,10
317,2,1,8,5,8
318,2,3,13,14,10
319,2,1,2,4,6
320,1,3,13,5,17
321,3,2,19,3,18
322,1,1,10,12,9
323,1,1,17,15,8
324,3,2,6,15,7
325,1,1,16,3,3
326,2,1,7,14,2
327,1,2,7,7,4
328,2,3,3,1,20
329,4,3,4,12,17
330,3,1,16,15,18
331,2,2,3,6,12
332,4,1,17,7,16
333,2,3,4,15,20
334,1,1,15,15,15
335,3,1,7,15,19
336,3,4,8,3,10
337,2,2,4,15,4
338,4,2,13,15,16
339,4,2,8,9,10
340,4,2,15,12,19
341,1,3,4,15,10
342,1,5,2,11,6
343,2,3,8,2,2
344,2,1,9,1,18
345,2,2,7,13,15
346,3,2,10,15,18
347,1,2,1,4,8
348,3,3,6,15,16
349,1,2,14,15,20
350,4,2,10,15,16
351,2,3,10,15,14
352,2,2,9,7,1
353,2,2,3,15,9
354,1,3,15,8,13
355,2,2,11,15,16
356,2,2,14,9,3
357,3,3,10,15,19
358,2,2,7,12,1
359,2,3,5,7,5
360,2,1,9,15,10
361,2,3,6,7,4
362,2,2,5,15,1
363,3,3,15,15,18
364,2,3,17,15,12
365,3,2,11,15,18
366,4,2,5,15,4
367,2,3,1,9,7
368,1,1,6,9,6
369,2,2,9,2,11
370,2,2,17,12,3
371,2,2,7,15,10
372,1,1,16,15,3
373,2,2,20,15,17
374,1,2,8,6,11
375,2,4,4,3,2
376,1,2,19,7,9
377,1,2,17,6,11
378,1,2,2,15,6
379,2,3,14,12,10
380,1,2,20,10,20
381,1,2,2,15,6
382,2,2,1,15,9
383,2,3,5,8,7
384,1,2,1,15,4
385,2,2,13,7,16
386,1,5,20,11,1
387,2,2,17,12,7
388,1,5,2,3,7
389,2,3,2,9,18
390,3,2,16,3,17
391,1,3,1,8,1
392,1,4,11,5,2
393,2,2,9,15,1
394,4,2,19,15,14
395,2,3,14,12,7
396,3,2,15,15,18
397,2,1,9,12,9
398,2,5,6,12,7
399,1,3,10,15,14
400,1,1,1,15,1
401,3,1,14,15,19
402,1,3,9,15,9
403,2,3,4,15,5
404,2,3,11,13,8
405,3,1,17,11,17
406,3,2,16,15,14
407,4,1,13,15,17
408,1,3,11,8,2
409,4,2,5,15,3
410,4,1,16,15,18
411,2,3,4,10,10
412,2,2,19,2,8
413,2,3,5,5,5
414,2,1,16,11,15
415,2,3,17,1,1
416,2,2,19,6,5
417,1,1,18,2,11
418,3,2,15,15,18
419,2,3,12,11,13
420,2,1,1,15,5
421,2,5,3,12,1
422,2,2,5,1,7
423,1,3,2,10,10
424,1,3,3,8,12
425,4,2,12,15,18
426,1,2,5,1,20
427,2,2,14,11,12
428,2,2,13,6,3
429,2,6,18,15,4
430,2,2,9,15,12
431,2,3,13,14,13
432,2,1,11,8,6
433,4,1,12,13,10
434,2,6,8,15,1
435,1,3,9,15,16
436,2,3,1,8,5
437,3,3,2,15,15
438,2,2,19,15,8
439,1,3,15,7,10
440,1,1,15,11,13
441,2,2,2,15,3
442,3,1,19,15,19
443,1,3,3,15,4
444,4,3,20,3,19
445,1,2,20,11,1
446,1,2,3,15,7
447,1,3,3,1,7
448,3,2,4,15,16
449,3,3,4,15,14
450,4,1,15,15,4
451,1,3,3,15,10
452,1,2,4,15,8
453,2,3,12,15,8
454,2,3,9,14,5
455,1,2,18,15,2
456,1,2,16,4,1
457,3,2,5,5,14
458,2,2,15,14,3
459,1,3,17,11,2
460,1,2,11,15,11
461,3,2,5,5,14
462,1,3,5,5,4
463,1,2,4,15,7
464,2,3,13,2,16
465,3,2,16,3,19
466,1,2,6,15,4
467,2,1,12,14,20
468,2,2,20,15,17
469,2,2,1,5,5
470,2,2,14,15,20
471,1,1,11,1,3
472,4,3,7,14,17
473,2,3,14,15,2
474,2,2,16,13,11
475,2,5,6,15,15
476,2,2,8,10,14
477,2,3,1,15,3
478,3,2,14,2,17
479,2,2,4,15,5
480,1,2,20,11,11
481,3,2,6,15,15
482,3,2,6,15,17
483,2,2,1,15,6
484,1,1,6,11,6
485,3,2,1,15,19
486,1,2,6,6,5
487,1,1,11,15,6
488,1,1,3,15,20
489,2,2,8,6,2
490,1,4,10,8,10
491,3,3,17,15,15
492,2,3,14,10,10
493,4,1,12,15,17
494,2,2,16,13,8
495,1,2,17,4,3
496,1,1,16,15,11
497,1,3,7,5,2
498,2,3,9,14,5
499,3,2,16,5,18
500,1,3,4,15,4
501,2,2,11,10,4
502,2,3,1,8,1
503,2,4,6,15,13
504,1,3,6,15,1
505,3,2,9,15,18
506,2,2,16,6,14
507,2,1,14,9,7
508,4,5,19,2,10
509,1,2,6,15,5
510,2,5,5,11,20
511,1,3,20,15,2
512,2,2,9,1,8
513,1,1,16,10,20
514,1,1,9,15,1
515,3,2,12,15,18
516,2,2,14,12,13
517,1,2,8,15,17
518,3,2,12,15,18
519,2,3,3,1,1
520,2,3,20,10,8
521,2,4,15,14,15
522,2,5,8,5,1
523,2,1,12,15,4
524,4,3,3,15,15
525,1,2,7,10,20
526,2,2,1,6,20
527,2,3,17,15,8
528,2,2,18,7,11
529,1,2,11,15,20
530,1,2,8,6,8
531,3,1,12,15,16
532,2,3,15,1,8
533,1,1,20,15,8
534,3,3,7,10,10
535,3,2,18,12,17
536,2,4,19,14,8
537,2,2,17,15,16
538,1,2,3,3,3
539,2,2,10,9,10
540,1,1,17,2,16
541,1,5,8,11,7
542,2,2,14,15,7
543,1,2,1,15,1
544,2,2,11,11,9
545,2,1,9,1,13
546,1,1,9,15,3
547,2,3,20,6,2
548,2,2,3,1,14
549,2,1,19,8,7
550,3,1,12,15,19
551,3,1,13,15,16
552,1,1,19,15,14
553,2,2,5,15,11
554,3,3,2,1,17
555,1,2,12,15,12
556,2,1,18,1,13
557,1,3,3,10,8
558,3,4,10,15,19
559,2,1,17,6,11
560,2,1,12,9,9
561,2,2,1,3,3
562,1,2,9,15,9
563,1,3,5,12,1
564,2,3,2,7,13
565,3,2,13,15,15
566,3,2,8,15,18
567,2,1,17,15,13
568,2,3,9,15,1
569,1,2,14,1,8
570,3,1,19,15,17
571,4,2,18,4,11
572,2,1,19,15,7
573,3,2,2,15,17
574,1,2,6,15,15
575,2,2,17,1,14
576,2,6,20,3,2
577,1,1,7,8,13
578,2,5,19,15,13
579,2,2,12,15,1
580,1,2,11,11,6
581,2,3,10,15,20
582,3,2,1,3,17
583,3,4,10,15,19
584,2,3,8,15,1
585,2,2,9,11,5
586,2,1,18,9,7
587,2,2,9,11,5
588,4,1,1,15,8
589,1,2,13,2,7
590,3,2,15,15,18
591,1,2,8,9,20
592,3,1,1,15,19
593,2,3,4,2,15
594,2,2,11,15,6
595,1,1,1,15,7
596,1,2,18,15,15
597,1,2,1,15,6
598,1,3,16,10,8
599,2,1,9,2,16
600,1,2,6,15,5
601,1,3,20,15,8
602,1,3,9,5,4
603,1,3,6,15,5
604,3,3,14,15,17
605,2,2,12,9,10
606,1,2,10,15,17
607,2,1,12,15,10
608,2,4,20,1,3
609,2,2,15,6,8
610,2,3,6,11,20
611,2,5,7,12,4
612,3,2,4,15,14
613,2,1,20,15,1
614,2,1,17,15,13
615,3,1,15,15,19
616,3,2,18,15,19
617,4,2,18,15,17
618,3,2,12,15,15
619,2,2,1,15,6
620,2,4,16,9,1
621,2,3,6,15,2
622,4,2,19,9,17
623,3,2,14,12,11
624,1,4,8,5,20
625,1,2,14,11,7
626,1,1,14,11,7
627,3,2,12,6,19
628,3,4,6,1,18
629,1,2,2,13,20
630,4,1,13,14,19
631,1,2,14,11,7
632,2,3,2,14,3
633,2,2,17,14,8
634,2,2,12,13,12
635,2,2,10,15,10
636,3,1,5,15,17
637,3,2,11,15,18
638,1,5,15,3,6
639,4,1,17,10,15
640,2,1,18,14,14
641,2,2,11,11,14
642,1,3,12,15,12
643,2,5,16,4,3
644,2,2,15,15,12
645,2,2,20,15,3
646,2,1,16,12,12
647,1,3,12,8,6
648,2,1,16,12,2
649,2,2,2,12,7
650,3,2,15,15,16
651,1,1,19,8,15
652,2,2,19,15,11
653,2,3,13,15,15
654,2,1,7,15,10
655,2,2,9,8,8
656,2,1,19,15,14
657,3,2,6,5,15
658,1,2,14,15,16
659,2,3,5,4,9
660,4,3,18,14,16
661,1,3,4,15,13
662,3,2,12,2,11
663,2,3,15,15,3
664,2,1,20,15,8
665,3,2,3,15,14
666,3,2,13,15,16
667,2,2,3,13,15
668,3,2,12,15,16
669,1,2,14,3,13
670,1,3,3,7,3
671,3,1,20,3,19
672,1,3,11,15,2
673,4,2,14,13,12
674,1,1,19,3,10
675,4,2,18,15,18
676,2,2,1,9,20
677,3,2,20,3,19
678,2,1,19,15,20
679,2,1,4,11,20
680,2,2,3,11,7
681,2,6,19,15,12
682,2,2,10,12,14
683,3,1,6,11,17
684,1,3,8,15,2
685,3,1,17,3,17
686,1,2,19,15,3
687,3,4,18,11,19
688,2,2,12,13,11
689,3,2,16,15,12
690,2,2,18,7,4
691,2,2,17,3,20
692,2,2,19,4,20
693,2,2,11,10,3
694,1,3,10,3,13
695,3,1,11,15,18
696,1,2,20,15,15
697,1,2,11,7,2
698,1,3,6,1,20
699,3,3,16,15,18
700,3,2,15,15,19
701,3,2,14,15,15
702,1,1,14,7,8
703,1,3,4,11,8
704,2,5,5,3,6
705,4,1,16,5,15
706,3,2,18,15,14
707,3,3,6,3,13
708,1,1,12,15,5
709,3,2,6,3,15
710,2,2,11,4,3
711,2,2,3,7,12
712,4,3,9,15,16
713,2,2,10,10,2
714,1,2,4,15,6
715,2,2,9,15,15
716,2,1,3,15,4
717,2,4,18,14,6
718,3,3,14,15,18
719,2,2,18,7,5
720,3,1,1,15,20
721,1,2,1,15,8
722,1,2,2,1,8
723,2,2,12,14,5
724,1,3,2,5,8
725,2,3,1,13,1
726,3,3,20,15,20
727,3,3,15,4,15
728,2,2,11,15,10
729,3,1,19,15,19
730,4,1,14,13,5
731,2,3,14,10,14
732,4,2,9,15,19
733,1,2,1,1,1
734,2,3,11,1,15
735,1,3,8,15,4
736,1,2,4,1,8
737,2,3,7,6,11
738,2,2,9,9,6
739,2,2,8,8,4
740,2,4,6,3,1
741,2,2,11,15,1
742,2,2,5,9,8
743,2,1,8,6,13
744,2,6,20,15,6
745,3,4,12,1,19
746,1,2,8,5,9
747,2,2,11,13,8
748,2,2,4,15,8
749,1,2,5,15,20
750,1,3,3,15,12
751,1,1,7,2,8
752,4,2,1,3,19
753,2,1,15,13,10
754,2,2,20,12,4
755,3,1,19,6,16
756,3,1,16,15,19
757,1,3,5,2,2
758,2,2,17,6,1
759,1,1,19,15,8
760,1,3,3,15,8
761,2,2,3,4,13
762,1,2,6,15,12
763,2,1,16,3,11
764,3,1,17,15,15
765,1,5,2,1,1
766,2,3,1,15,3
767,3,3,4,15,8
768,3,2,10,2,8
769,2,2,19,4,5
770,2,2,16,15,2
771,4,2,17,3,15
772,2,2,16,8,11
773,3,3,20,8,12
774,4,2,8,15,6
775,3,1,17,15,18
776,2,4,13,13,2
777,2,1,14,9,2
778,2,2,8,12,12
779,3,2,3,15,16
780,2,1,17,4,11
781,2,2,6,6,11
782,1,1,4,15,20
783,2,5,13,14,11
784,1,2,1,15,4
785,3,2,18,15,14
786,2,3,3,15,4
787,2,2,4,7,10
788,4,2,17,12,17
789,1,3,5,15,10
790,2,3,6,12,2
791,2,2,7,15,4
792,3,1,3,15,18
793,2,2,13,14,11
794,1,1,15,15,13
795,1,3,13,5,5
796,2,2,4,3,1
797,2,4,11,11,20
798,1,1,2,15,4
799,2,5,13,14,12
800,2,2,13,3,5
801,3,1,13,2,17
802,2,3,6,10,16
803,2,1,20,15,7
804,1,6,10,15,13
805,2,3,1,15,15
806,2,2,3,13,4
807,2,1,16,14,16
808,1,2,8,15,10
809,2,2,11,15,3
810,1,2,10,15,7
811,1,2,13,15,2
812,1,1,19,15,3
813,1,2,7,15,10
814,3,1,16,14,18
815,2,2,11,2,14
816,2,2,14,15,2
817,1,4,1,15,3
818,2,5,13,14,12
819,3,2,6,3,18
820,1,2,1,15,5
821,4,2,7,7,14
822,2,1,3,15,20
823,1,2,12,13,20
824,4,1,14,7,16
825,1,1,4,3,10
826,1,2,4,6,14
827,3,1,19,1,19
828,2,2,15,9,10
829,4,3,18,15,17
830,2,1,2,15,10
831,3,3,1,15,13
832,2,2,18,5,6
833,2,1,19,12,5
834,2,3,5,12,6
835,3,2,18,15,18
836,3,3,1,15,13
837,1,3,20,15,14
838,1,3,10,13,14
839,3,1,20,15,17
840,2,2,2,8,11
841,2,1,14,15,14
842,1,2,13,15,1
843,2,2,4,9,7
844,2,1,19,13,8
845,2,2,6,3,8
846,2,2,11,6,6
847,1,1,8,7,8
848,2,2,6,8,10
849,2,2,13,8,16
850,3,2,12,15,17
851,2,2,2,15,8
852,2,3,18,13,17
853,4,2,15,15,19
854,2,1,12,7,5
855,1,1,12,4,1
856,2,3,5,12,6
857,1,2,12,15,11
858,2,1,8,12,9
859,2,2,4,15,14
860,2,4,20,8,3
861,3,2,9,15,19
862,2,3,15,15,5
863,3,2,14,15,15
864,2,2,16,7,2
865,2,2,5,15,10
866,4,3,11,15,19
867,3,1,12,15,17
868,4,3,18,5,19
869,1,2,3,15,4
870,2,2,2,15,12
871,3,2,19,15,16
872,4,2,13,2,4
873,3,1,14,13,13
874,4,1,20,14,18
875,2,2,2,15,6
876,2,3,16,10,14
877,1,1,2,15,9
878,2,2,9,15,13
879,3,3,13,11,18
880,2,1,13,15,11
881,3,1,2,15,19
882,2,2,10,5,9
883,1,1,10,14,7
884,2,2,1,3,5
885,1,2,9,15,12
886,4,1,15,13,17
887,2,2,16,15,3
888,2,2,13,14,20
889,2,1,12,11,15
890,1,1,8,15,4
891,2,5,1,4,7
892,2,2,15,14,11
893,2,3,9,2,7
894,2,2,3,8,20
895,2,1,17,15,16
896,3,3,8,15,19
897,2,3,14,1,7
898,3,2,6,3,15
899,2,1,18,12,6
900,1,2,19,15,14
901,2,1,1,9,8
902,1,2,18,15,10
903,1,2,3,8,7
904,3,4,4,9,12
905,2,5,12,7,4
906,3,1,9,12,18
907,3,1,9,12,16
908,2,1,17,12,16
909,4,1,17,10,15
910,3,1,20,8,17
911,4,2,19,11,18
912,2,4,1,15,6
913,2,1,5,10,8
914,3,1,8,15,13
915,3,2,6,15,13
916,2,2,16,15,4
917,3,6,19,15,20
918,4,3,3,8,2
919,2,2,9,15,16
920,1,3,1,10,5
921,2,2,16,4,13
922,2,1,4,15,13
923,1,3,17,15,3
924,2,1,18,8,17
925,2,2,13,14,20
926,2,2,6,3,2
927,3,3,9,15,19
928,2,1,15,12,8
929,2,1,9,15,6
930,1,3,9,13,20
931,3,2,16,3,17
932,3,2,14,15,19
933,2,1,11,14,4
934,1,2,19,15,10
935,2,1,16,12,10
936,2,2,13,15,3
937,4,2,19,15,11
938,1,2,14,15,8
939,1,2,18,1,5
940,3,1,10,15,19
941,1,3,9,8,14
942,1,4,8,3,4
943,3,6,20,15,20
944,1,1,7,5,10
945,1,3,6,15,3
946,1,1,3,2,20
947,2,1,17,8,11
948,2,6,1,15,3
949,2,3,20,15,20
950,3,2,5,15,11
951,2,2,19,15,14
952,2,1,18,10,9
953,2,1,4,15,11
954,4,2,8,9,9
955,2,2,9,7,4
956,2,2,4,15,2
957,2,2,16,9,14
958,1,1,20,15,8
959,1,2,9,2,1
960,2,4,6,7,12
961,3,2,3,1,18